,description
Alkyl,"These two strong nodes may come from the same functional group which is Alkyl, based on the related nodes and edges in the knowledge graph."
Alkenyl,"These two strong nodes may come from the same functional group which is Alkenyl, based on the related nodes and edges in the knowledge graph."
Alkynyl,"These two strong nodes may come from the same functional group which is Alkynyl, based on the related nodes and edges in the knowledge graph."
Phenyl,"These two strong nodes may come from the same functional group which is Phenyl, based on the related nodes and edges in the knowledge graph."
Ether,"These two strong nodes may come from the same functional group which is Ether, based on the related nodes and edges in the knowledge graph."
Hydroxyl,"These two strong nodes may come from the same functional group which is Hydroxyl, based on the related nodes and edges in the knowledge graph."
Carboalkoxy,"These two strong nodes may come from the same functional group which is Carboalkoxy, based on the related nodes and edges in the knowledge graph."
Ketone,"These two strong nodes may come from the same functional group which is Ketone, based on the related nodes and edges in the knowledge graph."
Aldehyde,"These two strong nodes may come from the same functional group which is Aldehyde, based on the related nodes and edges in the knowledge graph."
Carboxyl,"These two strong nodes may come from the same functional group which is Carboxyl, based on the related nodes and edges in the knowledge graph."
furan,"These two strong nodes may come from the same functional group which is furan, based on the related nodes and edges in the knowledge graph."
Carbonate Ester,"These two strong nodes may come from the same functional group which is Carbonate Ester, based on the related nodes and edges in the knowledge graph."
Pyridyl,"These two strong nodes may come from the same functional group which is Pyridyl, based on the related nodes and edges in the knowledge graph."
Nitro,"These two strong nodes may come from the same functional group which is Nitro, based on the related nodes and edges in the knowledge graph."
Nitrile,"These two strong nodes may come from the same functional group which is Nitrile, based on the related nodes and edges in the knowledge graph."
Amines,"These two strong nodes may come from the same functional group which is Amines, based on the related nodes and edges in the knowledge graph."
Isocyanate,"These two strong nodes may come from the same functional group which is Isocyanate, based on the related nodes and edges in the knowledge graph."
Nitrosooxy,"These two strong nodes may come from the same functional group which is Nitrosooxy, based on the related nodes and edges in the knowledge graph."
Sulfonyl,"These two strong nodes may come from the same functional group which is Sulfonyl, based on the related nodes and edges in the knowledge graph."
Disulfide,"These two strong nodes may come from the same functional group which is Disulfide, based on the related nodes and edges in the knowledge graph."
Sulfide,"These two strong nodes may come from the same functional group which is Sulfide, based on the related nodes and edges in the knowledge graph."
Isothiocyanate,"These two strong nodes may come from the same functional group which is Isothiocyanate, based on the related nodes and edges in the knowledge graph."
Sulfhydryl,"These two strong nodes may come from the same functional group which is Sulfhydryl, based on the related nodes and edges in the knowledge graph."
Sulfonate,"These two strong nodes may come from the same functional group which is Sulfonate, based on the related nodes and edges in the knowledge graph."
Sulfoxide,"These two strong nodes may come from the same functional group which is Sulfoxide, based on the related nodes and edges in the knowledge graph."
chloro,"These two strong nodes may come from the same functional group which is chloro, based on the related nodes and edges in the knowledge graph."
iodo,"These two strong nodes may come from the same functional group which is iodo, based on the related nodes and edges in the knowledge graph."
fluoro,"These two strong nodes may come from the same functional group which is fluoro, based on the related nodes and edges in the knowledge graph."
bromo,"These two strong nodes may come from the same functional group which is bromo, based on the related nodes and edges in the knowledge graph."
Unknown,These two strong nodes may come from the same functional group which is unknown.
